UserID,Degree,Course,Specialization,Skills,Interests,Recommended_Career_Path
1,M.Tech,Computer Science and Engineering,Software Engineering,"Java, System Design, C++","Software Development, System Design",Backend Developer
2,B.Tech,Computer Science and Engineering,Artificial Intelligence and Machine Learning,"Machine Learning, TensorFlow, Scikit-learn, Python","Machine Learning, AI",Machine Learning Engineer
3,M.Tech,Computer Science and Engineering,Artificial Intelligence and Machine Learning,"Python, PyTorch, NLP",Machine Learning,AI Engineer
4,B.Tech,Computer Science and Engineering,Information Technology,"IT Support, Networking, SQL, Linux",Networking,IT Analyst
5,B.Tech,Computer Science and Engineering,Big Data Analytics,"Data Mining, SQL, Python, Data Visualization, R",Business Intelligence,Data Scientist
6,B.Tech,Computer Science and Engineering,Artificial Intelligence and Machine Learning,"Machine Learning, PyTorch, TensorFlow, Deep Learning, NLP",Machine Learning,AI Engineer
7,M.Tech,Computer Science and Engineering,Cognitive Computing,"NLP, Machine Learning, IBM Watson, Python, AI",Cognitive Systems,AI Researcher
8,B.Tech,Computer Science and Engineering,Cognitive Computing,"AI, Python, Cognitive Services",Human-Computer Interaction,NLP Engineer
9,M.Tech,Computer Science and Engineering,Big Data Analytics,"Python, SQL, Data Mining, R",Big Data,Data Analyst
10,M.Tech,Computer Science and Engineering,Blockchain Technology,"Smart Contracts, Cryptography, Python, Solidity","Decentralized Apps, Blockchain",Blockchain Analyst
11,B.Tech,Computer Science and Engineering,Software Engineering,"System Design, Git, C++, Agile","System Design, Software Development",Software Engineer
12,M.Tech,Computer Science and Engineering,Gaming Technology,"Unreal Engine, Game Design, C#, C++","Game Design, Gaming",Game Designer
13,M.Tech,Computer Science and Engineering,Information Technology,"System Administration, Python, IT Support, Networking, Linux",IT,IT Analyst
14,B.Tech,Computer Science and Engineering,Gaming Technology,"Unreal Engine, Unity, 3D Modeling, C#, Game Design","Game Design, Virtual Reality",3D Artist
15,M.Tech,Computer Science and Engineering,Information Technology,"IT Support, Networking, System Administration, Linux","Networking, IT",Technical Support Engineer
16,M.Tech,Computer Science and Engineering,Blockchain Technology,"Ethereum, Smart Contracts, Solidity, Blockchain, Cryptography","Decentralized Apps, Blockchain",Blockchain Developer
17,B.Tech,Computer Science and Engineering,Big Data Analytics,"SQL, Hadoop, Python, Data Visualization","Big Data, Business Intelligence",Data Analyst
18,B.Tech,Computer Science and Engineering,Blockchain Technology,"Cryptography, Solidity, Blockchain, Ethereum, Python",Decentralized Apps,Smart Contract Developer
19,B.Tech,Computer Science and Engineering,Blockchain Technology,"Smart Contracts, Ethereum, Cryptography",Blockchain,Smart Contract Developer
20,B.Tech,Computer Science and Engineering,Blockchain Technology,"Ethereum, Solidity, Blockchain, Smart Contracts, Cryptography","Blockchain, Decentralized Apps",Blockchain Analyst
21,B.Tech,Computer Science and Engineering,Information Technology,"IT Support, Networking, SQL, System Administration, Python",Systems,IT Analyst
22,B.Tech,Computer Science and Engineering,Cyber Security,"Ethical Hacking, Firewalls, Penetration Testing, Python, Cryptography",Ethical Hacking,Penetration Tester
23,M.Tech,Computer Science and Engineering,Cloud Computing,"Azure, Docker, Google Cloud, AWS, Kubernetes",Cloud,DevOps Engineer
24,M.Tech,Computer Science and Engineering,Big Data Analytics,"SQL, Data Visualization, Data Mining",Big Data,Data Scientist
25,B.Tech,Computer Science and Engineering,Big Data Analytics,"Spark, Hadoop, Data Visualization, SQL",Data Analysis,Big Data Engineer
26,M.Tech,Computer Science and Engineering,Blockchain Technology,"Blockchain, Ethereum, Solidity, Python, Smart Contracts","Decentralized Apps, Blockchain",Blockchain Developer
27,M.Tech,Computer Science and Engineering,Information Technology,"Linux, Python, System Administration","Networking, IT",IT Analyst
28,M.Tech,Computer Science and Engineering,Gaming Technology,"Game Design, Unreal Engine, Unity, C#, 3D Modeling","Virtual Reality, Game Design",3D Artist
